accuracy = 0.0012779552715654952, precision = 1.9557688895842733e-06, recall = 0.0012779552715654952, f1 = 3.905560751346198e-06
accuracy = 0.004259850905218318, precision = 0.0029093480785751585, recall = 0.004259850905218318, f1 = 0.002559011617105676
accuracy = 0.044089456869009586, precision = 0.07562594502471089, recall = 0.044089456869009586, f1 = 0.035343202147549935
accuracy = 0.05047923322683706, precision = 0.3804632020791849, recall = 0.05047923322683706, f1 = 0.05790129738264494
accuracy = 0.06368477103301384, precision = 0.29069447940582493, recall = 0.06368477103301384, f1 = 0.06724710439030333
accuracy = 0.08242811501597444, precision = 0.5666283968257125, recall = 0.08242811501597444, f1 = 0.0858014679162154
accuracy = 0.07561235356762513, precision = 0.5616576420808232, recall = 0.07561235356762513, f1 = 0.07991825362845358
accuracy = 0.08498402555910543, precision = 0.5257498016146978, recall = 0.08498402555910543, f1 = 0.07921680694139913
accuracy = 0.08647497337593184, precision = 0.5733214151072438, recall = 0.08647497337593184, f1 = 0.08421580138454167
accuracy = 0.12140575079872204, precision = 0.5456184288018269, recall = 0.12140575079872204, f1 = 0.1129140779989566
accuracy = 0.1101171458998935, precision = 0.6095379878521984, recall = 0.1101171458998935, f1 = 0.09004928708741311
accuracy = 0.1220447284345048, precision = 0.09134711805778568, recall = 0.1220447284345048, f1 = 0.0950194685203843
accuracy = 0.1141640042598509, precision = 0.5701169322332863, recall = 0.1141640042598509, f1 = 0.09137534498166666
accuracy = 0.12140575079872204, precision = 0.5169128413181171, recall = 0.12140575079872204, f1 = 0.0956429109289073
accuracy = 0.14185303514376996, precision = 0.6442421528777088, recall = 0.14185303514376996, f1 = 0.10715577648037256
accuracy = 0.14909478168264112, precision = 0.6469673115301455, recall = 0.14909478168264112, f1 = 0.1073538034178232
accuracy = 0.16251331203407882, precision = 0.6631644586978623, recall = 0.16251331203407882, f1 = 0.11997306631143974
accuracy = 0.1450479233226837, precision = 0.6534471354142731, recall = 0.1450479233226837, f1 = 0.10602867295924642
accuracy = 0.15505857294994674, precision = 0.6290803716462299, recall = 0.15505857294994674, f1 = 0.1261016835674418
accuracy = 0.15953141640042598, precision = 0.6641618989349825, recall = 0.15953141640042598, f1 = 0.12155303428839657
accuracy = 0.16443024494142705, precision = 0.6638911967537056, recall = 0.16443024494142705, f1 = 0.1231880792663639
accuracy = 0.16592119275825346, precision = 0.6645642826932826, recall = 0.16592119275825346, f1 = 0.12483970840737853
accuracy = 0.1584664536741214, precision = 0.6270759726412526, recall = 0.1584664536741214, f1 = 0.1278673082942238
accuracy = 0.16017039403620872, precision = 0.6672287849360432, recall = 0.16017039403620872, f1 = 0.12839499278977773
accuracy = 0.1584664536741214, precision = 0.6596054072736681, recall = 0.1584664536741214, f1 = 0.12277316031964292
accuracy = 0.16783812566560172, precision = 0.6718110606493274, recall = 0.16783812566560172, f1 = 0.13280422354657578
accuracy = 0.16336528221512248, precision = 0.6690215627687361, recall = 0.16336528221512248, f1 = 0.12843010740436664
accuracy = 0.1637912673056443, precision = 0.6731024698644379, recall = 0.1637912673056443, f1 = 0.12990493822428306
accuracy = 0.1476038338658147, precision = 0.6690211001117338, recall = 0.1476038338658147, f1 = 0.11920951180280998
accuracy = 0.1501597444089457, precision = 0.6812925148028539, recall = 0.1501597444089457, f1 = 0.12269104776711552
accuracy = 0.1503727369542066, precision = 0.669270916634868, recall = 0.1503727369542066, f1 = 0.11797219693996269
accuracy = 0.14952076677316295, precision = 0.6691832225340207, recall = 0.14952076677316295, f1 = 0.11699317879561826
accuracy = 0.15761448349307774, precision = 0.6739198406946973, recall = 0.15761448349307774, f1 = 0.1252058144679826
accuracy = 0.15420660276890308, precision = 0.6706561579740502, recall = 0.15420660276890308, f1 = 0.1227115222539431
accuracy = 0.15399361022364216, precision = 0.6734051460689768, recall = 0.15399361022364216, f1 = 0.12381736637472937
accuracy = 0.15718849840255592, precision = 0.6739049271284815, recall = 0.15718849840255592, f1 = 0.12637088230787763
accuracy = 0.15740149094781683, precision = 0.6740821741831995, recall = 0.15740149094781683, f1 = 0.12674845749565447
accuracy = 0.14906303236797275, precision = 0.11580245842182789, recall = 0.14906303236797275, f1 = 0.11327163841029637
