accuracy = 0.46385920804525455, precision = 0.31807406170118285, recall = 0.46385920804525455, f1 = 0.34322527398339775
accuracy = 0.5633249528598366, precision = 0.45701226810885615, recall = 0.5633249528598366, f1 = 0.4741799999423422
accuracy = 0.5867379006913891, precision = 0.5023067751260262, recall = 0.5867379006913891, f1 = 0.4961566409176555
accuracy = 0.6145505971087366, precision = 0.5433328186408721, recall = 0.6145505971087366, f1 = 0.5339879150787716
accuracy = 0.6494343180389692, precision = 0.5569804691793114, recall = 0.6494343180389692, f1 = 0.5906653758900241
accuracy = 0.6651477058453803, precision = 0.5892500632374081, recall = 0.6651477058453803, f1 = 0.6139388442008378
accuracy = 0.6695474544311754, precision = 0.5922369571564604, recall = 0.6695474544311754, f1 = 0.6117876986312256
accuracy = 0.6766184789440604, precision = 0.6008467593617949, recall = 0.6766184789440604, f1 = 0.62243889785531
accuracy = 0.6756756756756757, precision = 0.5904432990397555, recall = 0.6756756756756757, f1 = 0.6197257827991803
accuracy = 0.6880892520427404, precision = 0.6210504203085744, recall = 0.6880892520427404, f1 = 0.6352103658343762
accuracy = 0.6972030169704588, precision = 0.6252474615018137, recall = 0.6972030169704588, f1 = 0.6482980884422175
accuracy = 0.6956316781898177, precision = 0.6537319833968774, recall = 0.6956316781898177, f1 = 0.6519251408064576
accuracy = 0.6972030169704588, precision = 0.6700809438610571, recall = 0.6972030169704588, f1 = 0.6553844262224345
accuracy = 0.7038026398491515, precision = 0.6932757789001281, recall = 0.7038026398491515, f1 = 0.6644040311352317
accuracy = 0.7148020113136392, precision = 0.6900098928124601, recall = 0.7148020113136392, f1 = 0.6775104898042493
accuracy = 0.7124450031426776, precision = 0.6787609213600657, recall = 0.7124450031426776, f1 = 0.6752133201510837
accuracy = 0.7184160905091138, precision = 0.6880939410788961, recall = 0.7184160905091138, f1 = 0.6855911140572308
accuracy = 0.7250157133878065, precision = 0.693988383271475, recall = 0.7250157133878065, f1 = 0.694515427772271
accuracy = 0.7269013199245757, precision = 0.7008816336787185, recall = 0.7269013199245757, f1 = 0.6959819531672605
accuracy = 0.7300439974858579, precision = 0.7071972873878757, recall = 0.7300439974858579, f1 = 0.7019022046179232
accuracy = 0.7308296668761785, precision = 0.701837628503435, recall = 0.7308296668761785, f1 = 0.703032424089267
accuracy = 0.7303582652419862, precision = 0.7063432950725372, recall = 0.7303582652419862, f1 = 0.7038152418607262
accuracy = 0.7342866121935889, precision = 0.7084323294851811, recall = 0.7342866121935889, f1 = 0.7085263858906993
accuracy = 0.735700817096166, precision = 0.7107831795271964, recall = 0.735700817096166, f1 = 0.7109163663075353
# final eval
accuracy = 0.7369578881206789, precision = 0.7120362098886021, recall = 0.7369578881206789, f1 = 0.7122357690596449
# final test
accuracy = 0.7366436203645506, precision = 0.7134489857816767, recall = 0.7366436203645506, f1 = 0.7095270351645936
# last few round of training
{'loss': '1.245', 'grad_norm': '0.4426', 'learning_rate': '1.301e-05', 'epoch': '4.839'}
{'loss': '1.15', 'grad_norm': '0.6507', 'learning_rate': '1.141e-05', 'epoch': '4.859'}
{'loss': '1.106', 'grad_norm': '0.5179', 'learning_rate': '9.799e-06', 'epoch': '4.88'}
{'loss': '1.182', 'grad_norm': '0.689', 'learning_rate': '8.193e-06', 'epoch': '4.9'}
{'loss': '1.167', 'grad_norm': '0.5019', 'learning_rate': '6.586e-06', 'epoch': '4.92'}
{'loss': '1.14', 'grad_norm': '0.507', 'learning_rate': '4.98e-06', 'epoch': '4.94'}
{'loss': '1.11', 'grad_norm': '0.5896', 'learning_rate': '3.373e-06', 'epoch': '4.96'}
{'loss': '1.156', 'grad_norm': '0.6163', 'learning_rate': '1.767e-06', 'epoch': '4.98'}
{'loss': '1.243', 'grad_norm': '1.328', 'learning_rate': '1.606e-07', 'epoch': '5'}
