accuracy = 0.3697360150848523, precision = 0.23220400148159492, recall = 0.3697360150848523, f1 = 0.24576952163508647
accuracy = 0.5243557510999372, precision = 0.37554354137892004, recall = 0.5243557510999372, f1 = 0.424133321716159
accuracy = 0.555311125078567, precision = 0.3822369042316172, recall = 0.555311125078567, f1 = 0.44828421545656766
accuracy = 0.5746385920804525, precision = 0.47839459449520383, recall = 0.5746385920804525, f1 = 0.48893215810477403
accuracy = 0.6024512884978002, precision = 0.5222380068396633, recall = 0.6024512884978002, f1 = 0.5262374362690664
accuracy = 0.6090509113764928, precision = 0.5229395847702526, recall = 0.6090509113764928, f1 = 0.5413744342870646
accuracy = 0.6181646763042112, precision = 0.5373391433855799, recall = 0.6181646763042112, f1 = 0.5474106637501476
accuracy = 0.6417347580138277, precision = 0.5704831305115055, recall = 0.6417347580138277, f1 = 0.5840411534425712
accuracy = 0.6538340666247643, precision = 0.5935628436606709, recall = 0.6538340666247643, f1 = 0.6076924814797753
accuracy = 0.6599622878692646, precision = 0.5876507325657728, recall = 0.6599622878692646, f1 = 0.609154757512804
accuracy = 0.6693903205531112, precision = 0.6037472946593442, recall = 0.6693903205531112, f1 = 0.6236373001525459
accuracy = 0.6764613450659962, precision = 0.6017560529437382, recall = 0.6764613450659962, f1 = 0.62423747558625
accuracy = 0.6759899434318039, precision = 0.6362311020155985, recall = 0.6759899434318039, f1 = 0.6299329080982553
accuracy = 0.687460716530484, precision = 0.6294285103656447, recall = 0.687460716530484, f1 = 0.638830122034715
accuracy = 0.6792897548711502, precision = 0.6628266704588478, recall = 0.6792897548711502, f1 = 0.6336577915510239
accuracy = 0.6939032055311125, precision = 0.6347597608880764, recall = 0.6939032055311125, f1 = 0.6467715432533963
accuracy = 0.7012884978001257, precision = 0.6590272507793122, recall = 0.7012884978001257, f1 = 0.6631988345423361
accuracy = 0.701759899434318, precision = 0.6622911124015843, recall = 0.701759899434318, f1 = 0.6604997678640651
accuracy = 0.701759899434318, precision = 0.6716523121779817, recall = 0.701759899434318, f1 = 0.6677498295436414
accuracy = 0.7083595223130107, precision = 0.6767604446892046, recall = 0.7083595223130107, f1 = 0.674980496083196
accuracy = 0.7146448774355751, precision = 0.7044356739899472, recall = 0.7146448774355751, f1 = 0.6828794162384998
accuracy = 0.7160590823381521, precision = 0.6886227526938252, recall = 0.7160590823381521, f1 = 0.6859961207007664
accuracy = 0.7110307982401005, precision = 0.719170881896074, recall = 0.7110307982401005, f1 = 0.6917042183770552
accuracy = 0.7170018856065368, precision = 0.7212639138552777, recall = 0.7170018856065368, f1 = 0.6940638427367122
accuracy = 0.7218730358265242, precision = 0.6927661112387391, recall = 0.7218730358265242, f1 = 0.6946082480183206
accuracy = 0.7256442489000628, precision = 0.731058221175361, recall = 0.7256442489000628, f1 = 0.7009060800684864
accuracy = 0.725801382778127, precision = 0.7194684441469696, recall = 0.725801382778127, f1 = 0.7013780736044972
accuracy = 0.7283155248271528, precision = 0.7184158468586627, recall = 0.7283155248271528, f1 = 0.7045775346241518
accuracy = 0.7276869893148963, precision = 0.7272727412171576, recall = 0.7276869893148963, f1 = 0.7043225235832814
accuracy = 0.7295725958516657, precision = 0.7283735885797582, recall = 0.7295725958516657, f1 = 0.7064097298516795
accuracy = 0.7353865493400377, precision = 0.7284654889598337, recall = 0.7353865493400377, f1 = 0.7137943552177578
