accuracy = 0.26272784412319294, precision = 0.10803725756487384, recall = 0.26272784412319294, f1 = 0.14450912337486274
accuracy = 0.4866436203645506, precision = 0.31126670104824666, recall = 0.4866436203645506, f1 = 0.3740089380112272
accuracy = 0.5092708988057826, precision = 0.3483492203507016, recall = 0.5092708988057826, f1 = 0.40443593264169525
accuracy = 0.5221558768070396, precision = 0.370832050702051, recall = 0.5221558768070396, f1 = 0.4117815541979747
accuracy = 0.5463544940289127, precision = 0.4092142898726875, recall = 0.5463544940289127, f1 = 0.45367165192776815
accuracy = 0.5472972972972973, precision = 0.4673880481693881, recall = 0.5472972972972973, f1 = 0.46570500176783014
accuracy = 0.5606536769327467, precision = 0.4686586767748815, recall = 0.5606536769327467, f1 = 0.4758226546012465
accuracy = 0.5647391577624136, precision = 0.4765764064902541, recall = 0.5647391577624136, f1 = 0.48273438245783096
accuracy = 0.5762099308610936, precision = 0.5269044661523018, recall = 0.5762099308610936, f1 = 0.509270732708442
accuracy = 0.5936517913262099, precision = 0.5482407102317114, recall = 0.5936517913262099, f1 = 0.5321472459920146
accuracy = 0.6090509113764928, precision = 0.5447507630731322, recall = 0.6090509113764928, f1 = 0.5527617658798986
accuracy = 0.6013513513513513, precision = 0.5335470455387359, recall = 0.6013513513513513, f1 = 0.5322174137836679
accuracy = 0.615021998742929, precision = 0.5538468180554266, recall = 0.615021998742929, f1 = 0.5655978242384514
accuracy = 0.6261785040854808, precision = 0.5505444832248264, recall = 0.6261785040854808, f1 = 0.5667928253234301
accuracy = 0.626492771841609, precision = 0.5530311867731059, recall = 0.626492771841609, f1 = 0.5642126214103687
accuracy = 0.6426775612822124, precision = 0.5687554217146709, recall = 0.6426775612822124, f1 = 0.5876992964146701
accuracy = 0.6464487743557511, precision = 0.5692718441105786, recall = 0.6464487743557511, f1 = 0.5980238207536271
accuracy = 0.6473915776241358, precision = 0.5813220842351816, recall = 0.6473915776241358, f1 = 0.598991043386269
accuracy = 0.649120050282841, precision = 0.5928218376780403, recall = 0.649120050282841, f1 = 0.6011206506430035
accuracy = 0.6536769327467001, precision = 0.5944036746180958, recall = 0.6536769327467001, f1 = 0.6103793152462943
accuracy = 0.6533626649905719, precision = 0.5960932469327312, recall = 0.6533626649905719, f1 = 0.6073110756539403
accuracy = 0.6481772470144563, precision = 0.61434705692105, recall = 0.6481772470144563, f1 = 0.6129706368756357
accuracy = 0.6631049654305469, precision = 0.6269556877350296, recall = 0.6631049654305469, f1 = 0.6268133781155985
accuracy = 0.6664047768698932, precision = 0.6382976512497415, recall = 0.6664047768698932, f1 = 0.6222300413307276
accuracy = 0.6681332495285983, precision = 0.6255550715467894, recall = 0.6681332495285983, f1 = 0.6257262587529607
accuracy = 0.6737900691389064, precision = 0.6238463995523418, recall = 0.6737900691389064, f1 = 0.6351248945355482
accuracy = 0.6726901319924575, precision = 0.6315894554560907, recall = 0.6726901319924575, f1 = 0.638640232226444
accuracy = 0.6695474544311754, precision = 0.6356792635523225, recall = 0.6695474544311754, f1 = 0.629689710889248
accuracy = 0.6774041483343809, precision = 0.6284858828122137, recall = 0.6774041483343809, f1 = 0.6351520254889117
accuracy = 0.6712759270898806, precision = 0.6377656566657728, recall = 0.6712759270898806, f1 = 0.6381504349708236
accuracy = 0.6712759270898806, precision = 0.6363361082677104, recall = 0.6712759270898806, f1 = 0.6328399056496338
accuracy = 0.6802325581395349, precision = 0.6472999952844517, recall = 0.6802325581395349, f1 = 0.6454643964277429
accuracy = 0.6855751099937146, precision = 0.6554532013662248, recall = 0.6855751099937146, f1 = 0.6530573925658779
accuracy = 0.6843180389692017, precision = 0.662781210878992, recall = 0.6843180389692017, f1 = 0.6534368116941726
accuracy = 0.6849465744814582, precision = 0.6573522284867869, recall = 0.6849465744814582, f1 = 0.6528989019678456
accuracy = 0.6879321181646763, precision = 0.6538719896535196, recall = 0.6879321181646763, f1 = 0.6543946103413961
accuracy = 0.690289126335638, precision = 0.6612319098215457, recall = 0.690289126335638, f1 = 0.6577683229937552
accuracy = 0.6906033940917662, precision = 0.669264583524652, recall = 0.6906033940917662, f1 = 0.6605785762051175
accuracy = 0.6840037712130735, precision = 0.6464462743574835, recall = 0.6840037712130735, f1 = 0.6514831340601668
accuracy = 0.6895034569453174, precision = 0.6774248877903137, recall = 0.6895034569453174, f1 = 0.6589362708829148
accuracy = 0.6893463230672533, precision = 0.657931877661828, recall = 0.6893463230672533, f1 = 0.6621149708159438
accuracy = 0.6882463859208046, precision = 0.6524033646477044, recall = 0.6882463859208046, f1 = 0.6564374853269886
accuracy = 0.6918604651162791, precision = 0.6762638924795545, recall = 0.6918604651162791, f1 = 0.6661507297360593
accuracy = 0.6926461345065996, precision = 0.6693206757164053, recall = 0.6926461345065996, f1 = 0.6613122436357288
accuracy = 0.6921747328724073, precision = 0.6541642088549421, recall = 0.6921747328724073, f1 = 0.6586200763327608
accuracy = 0.6939032055311125, precision = 0.6620372007486603, recall = 0.6939032055311125, f1 = 0.6640604811393398
accuracy = 0.693117536140792, precision = 0.6760143649394154, recall = 0.693117536140792, f1 = 0.6650673720281857
accuracy = 0.6942174732872407, precision = 0.6615416029637303, recall = 0.6942174732872407, f1 = 0.6647991823643223
accuracy = 0.6957888120678818, precision = 0.6707677489961761, recall = 0.6957888120678818, f1 = 0.665600663516189
